tipo_edif,regimen_ten,periodo,total
Total,Total,2020,18754800.0
Total,Total,2019,18625700.0
Total,Total,2018,18535900.0
Total,Total,2017,18472800.0
Total,Total,2016,18406100.0
Total,Total,2015,18346200.0
Total,Total,2014,18303100.0
Total,Total,2013,18217300.0
Total,"Propia por compra, totalmente pagada, heredada o donada",2020,9212400.0
Total,"Propia por compra, totalmente pagada, heredada o donada",2019,9153900.0
Total,"Propia por compra, totalmente pagada, heredada o donada",2018,9104600.0
Total,"Propia por compra, totalmente pagada, heredada o donada",2017,9005600.0
Total,"Propia por compra, totalmente pagada, heredada o donada",2016,8963700.0
Total,"Propia por compra, totalmente pagada, heredada o donada",2015,8975000.0
Total,"Propia por compra, totalmente pagada, heredada o donada",2014,8885000.0
Total,"Propia por compra, totalmente pagada, heredada o donada",2013,8893100.0
Total,Propia con pagos pendientes,2020,5201200.0
Total,Propia con pagos pendientes,2019,5031700.0
Total,Propia con pagos pendientes,2018,5119400.0
Total,Propia con pagos pendientes,2017,5169000.0
Total,Propia con pagos pendientes,2016,5306900.0
Total,Propia con pagos pendientes,2015,5199800.0
Total,Propia con pagos pendientes,2014,5396300.0
Total,Propia con pagos pendientes,2013,5485900.0
Total,Alquilada,2020,3244400.0
Total,Alquilada,2019,3401200.0
Total,Alquilada,2018,3291300.0
Total,Alquilada,2017,3330900.0
Total,Alquilada,2016,3190600.0
Total,Alquilada,2015,3203500.0
Total,Alquilada,2014,3044500.0
Total,Alquilada,2013,2939400.0
Vivienda unifamiliar independiente,Total,2020,2576000.0
Vivienda unifamiliar independiente,Total,2019,2542500.0
Vivienda unifamiliar independiente,Total,2018,2576200.0
Vivienda unifamiliar independiente,Total,2017,2520000.0
Vivienda unifamiliar independiente,Total,2016,2498000.0
Vivienda unifamiliar independiente,Total,2015,2446600.0
Vivienda unifamiliar independiente,Total,2014,2719500.0
Vivienda unifamiliar independiente,Total,2013,2862800.0
Vivienda unifamiliar independiente,"Propia por compra, totalmente pagada, heredada o donada",2020,1729600.0
Vivienda unifamiliar independiente,"Propia por compra, totalmente pagada, heredada o donada",2019,1712000.0
Vivienda unifamiliar independiente,"Propia por compra, totalmente pagada, heredada o donada",2018,1724800.0
Vivienda unifamiliar independiente,"Propia por compra, totalmente pagada, heredada o donada",2017,1688900.0
Vivienda unifamiliar independiente,"Propia por compra, totalmente pagada, heredada o donada",2016,1666300.0
Vivienda unifamiliar independiente,"Propia por compra, totalmente pagada, heredada o donada",2015,1636000.0
Vivienda unifamiliar independiente,"Propia por compra, totalmente pagada, heredada o donada",2014,1826000.0
Vivienda unifamiliar independiente,"Propia por compra, totalmente pagada, heredada o donada",2013,1937200.0
Vivienda unifamiliar independiente,Propia con pagos pendientes,2020,537900.0
Vivienda unifamiliar independiente,Propia con pagos pendientes,2019,527800.0
Vivienda unifamiliar independiente,Propia con pagos pendientes,2018,546600.0
Vivienda unifamiliar independiente,Propia con pagos pendientes,2017,524900.0
Vivienda unifamiliar independiente,Propia con pagos pendientes,2016,553900.0
Vivienda unifamiliar independiente,Propia con pagos pendientes,2015,508100.0
Vivienda unifamiliar independiente,Propia con pagos pendientes,2014,582100.0
Vivienda unifamiliar independiente,Propia con pagos pendientes,2013,621100.0
Vivienda unifamiliar independiente,Alquilada,2020,140200.0
Vivienda unifamiliar independiente,Alquilada,2019,128199.99999999999
Vivienda unifamiliar independiente,Alquilada,2018,144700.0
Vivienda unifamiliar independiente,Alquilada,2017,150400.0
Vivienda unifamiliar independiente,Alquilada,2016,145200.0
Vivienda unifamiliar independiente,Alquilada,2015,152500.0
Vivienda unifamiliar independiente,Alquilada,2014,149700.0
Vivienda unifamiliar independiente,Alquilada,2013,146000.0
Vivienda unifamiliar adosada o pareada,Total,2020,3371000.0
Vivienda unifamiliar adosada o pareada,Total,2019,3376500.0
Vivienda unifamiliar adosada o pareada,Total,2018,3325800.0
Vivienda unifamiliar adosada o pareada,Total,2017,3312500.0
Vivienda unifamiliar adosada o pareada,Total,2016,3415300.0
Vivienda unifamiliar adosada o pareada,Total,2015,3518600.0
Vivienda unifamiliar adosada o pareada,Total,2014,3312200.0
Vivienda unifamiliar adosada o pareada,Total,2013,2985500.0
Vivienda unifamiliar adosada o pareada,"Propia por compra, totalmente pagada, heredada o donada",2020,1824000.0
Vivienda unifamiliar adosada o pareada,"Propia por compra, totalmente pagada, heredada o donada",2019,1871800.0
Vivienda unifamiliar adosada o pareada,"Propia por compra, totalmente pagada, heredada o donada",2018,1832300.0
Vivienda unifamiliar adosada o pareada,"Propia por compra, totalmente pagada, heredada o donada",2017,1817000.0
Vivienda unifamiliar adosada o pareada,"Propia por compra, totalmente pagada, heredada o donada",2016,1869000.0
Vivienda unifamiliar adosada o pareada,"Propia por compra, totalmente pagada, heredada o donada",2015,1885900.0
Vivienda unifamiliar adosada o pareada,"Propia por compra, totalmente pagada, heredada o donada",2014,1752700.0
Vivienda unifamiliar adosada o pareada,"Propia por compra, totalmente pagada, heredada o donada",2013,1571300.0
Vivienda unifamiliar adosada o pareada,Propia con pagos pendientes,2020,1110200.0
Vivienda unifamiliar adosada o pareada,Propia con pagos pendientes,2019,1022900.0
Vivienda unifamiliar adosada o pareada,Propia con pagos pendientes,2018,1018900.0
Vivienda unifamiliar adosada o pareada,Propia con pagos pendientes,2017,997700.0
Vivienda unifamiliar adosada o pareada,Propia con pagos pendientes,2016,1062700.0
Vivienda unifamiliar adosada o pareada,Propia con pagos pendientes,2015,1104300.0
Vivienda unifamiliar adosada o pareada,Propia con pagos pendientes,2014,1093700.0
Vivienda unifamiliar adosada o pareada,Propia con pagos pendientes,2013,1043599.9999999999
Vivienda unifamiliar adosada o pareada,Alquilada,2020,242000.0
Vivienda unifamiliar adosada o pareada,Alquilada,2019,304000.0
Vivienda unifamiliar adosada o pareada,Alquilada,2018,300700.0
Vivienda unifamiliar adosada o pareada,Alquilada,2017,323100.0
Vivienda unifamiliar adosada o pareada,Alquilada,2016,294900.0
Vivienda unifamiliar adosada o pareada,Alquilada,2015,342500.0
Vivienda unifamiliar adosada o pareada,Alquilada,2014,292800.0
Vivienda unifamiliar adosada o pareada,Alquilada,2013,238500.0
Edificio con dos viviendas,Total,2020,579900.0
Edificio con dos viviendas,Total,2019,564600.0
Edificio con dos viviendas,Total,2018,596500.0
Edificio con dos viviendas,Total,2017,576800.0
Edificio con dos viviendas,Total,2016,525100.0
Edificio con dos viviendas,Total,2015,621200.0
Edificio con dos viviendas,Total,2014,574600.0
Edificio con dos viviendas,Total,2013,642500.0
Edificio con dos viviendas,"Propia por compra, totalmente pagada, heredada o donada",2020,347400.0
Edificio con dos viviendas,"Propia por compra, totalmente pagada, heredada o donada",2019,318300.0
Edificio con dos viviendas,"Propia por compra, totalmente pagada, heredada o donada",2018,321500.0
Edificio con dos viviendas,"Propia por compra, totalmente pagada, heredada o donada",2017,313500.0
Edificio con dos viviendas,"Propia por compra, totalmente pagada, heredada o donada",2016,282800.0
Edificio con dos viviendas,"Propia por compra, totalmente pagada, heredada o donada",2015,360200.0
Edificio con dos viviendas,"Propia por compra, totalmente pagada, heredada o donada",2014,310200.0
Edificio con dos viviendas,"Propia por compra, totalmente pagada, heredada o donada",2013,364700.0
Edificio con dos viviendas,Propia con pagos pendientes,2020,72600.0
Edificio con dos viviendas,Propia con pagos pendientes,2019,82700.0
Edificio con dos viviendas,Propia con pagos pendientes,2018,90900.0
Edificio con dos viviendas,Propia con pagos pendientes,2017,93900.0
Edificio con dos viviendas,Propia con pagos pendientes,2016,95600.0
Edificio con dos viviendas,Propia con pagos pendientes,2015,101700.0
Edificio con dos viviendas,Propia con pagos pendientes,2014,97700.0
Edificio con dos viviendas,Propia con pagos pendientes,2013,97900.0
Edificio con dos viviendas,Alquilada,2020,93600.0
Edificio con dos viviendas,Alquilada,2019,97500.0
Edificio con dos viviendas,Alquilada,2018,108200.0
Edificio con dos viviendas,Alquilada,2017,98400.0
Edificio con dos viviendas,Alquilada,2016,83300.0
Edificio con dos viviendas,Alquilada,2015,100300.0
Edificio con dos viviendas,Alquilada,2014,99900.0
Edificio con dos viviendas,Alquilada,2013,112900.0
Edificio de 3 a 9 viviendas,Total,2020,3173600.0
Edificio de 3 a 9 viviendas,Total,2019,3340600.0
Edificio de 3 a 9 viviendas,Total,2018,3242600.0
Edificio de 3 a 9 viviendas,Total,2017,3198800.0
Edificio de 3 a 9 viviendas,Total,2016,3278400.0
Edificio de 3 a 9 viviendas,Total,2015,3228400.0
Edificio de 3 a 9 viviendas,Total,2014,3226100.0
Edificio de 3 a 9 viviendas,Total,2013,3316400.0
Edificio de 3 a 9 viviendas,"Propia por compra, totalmente pagada, heredada o donada",2020,1277600.0
Edificio de 3 a 9 viviendas,"Propia por compra, totalmente pagada, heredada o donada",2019,1337000.0
Edificio de 3 a 9 viviendas,"Propia por compra, totalmente pagada, heredada o donada",2018,1355300.0
Edificio de 3 a 9 viviendas,"Propia por compra, totalmente pagada, heredada o donada",2017,1235500.0
Edificio de 3 a 9 viviendas,"Propia por compra, totalmente pagada, heredada o donada",2016,1270000.0
Edificio de 3 a 9 viviendas,"Propia por compra, totalmente pagada, heredada o donada",2015,1285400.0
Edificio de 3 a 9 viviendas,"Propia por compra, totalmente pagada, heredada o donada",2014,1281100.0
Edificio de 3 a 9 viviendas,"Propia por compra, totalmente pagada, heredada o donada",2013,1340500.0
Edificio de 3 a 9 viviendas,Propia con pagos pendientes,2020,837100.0
Edificio de 3 a 9 viviendas,Propia con pagos pendientes,2019,861400.0
Edificio de 3 a 9 viviendas,Propia con pagos pendientes,2018,873100.0
Edificio de 3 a 9 viviendas,Propia con pagos pendientes,2017,902700.0
Edificio de 3 a 9 viviendas,Propia con pagos pendientes,2016,962800.0
Edificio de 3 a 9 viviendas,Propia con pagos pendientes,2015,909600.0
Edificio de 3 a 9 viviendas,Propia con pagos pendientes,2014,967000.0
Edificio de 3 a 9 viviendas,Propia con pagos pendientes,2013,1004600.0
Edificio de 3 a 9 viviendas,Alquilada,2020,850000.0
Edificio de 3 a 9 viviendas,Alquilada,2019,945200.0
Edificio de 3 a 9 viviendas,Alquilada,2018,821400.0
Edificio de 3 a 9 viviendas,Alquilada,2017,879100.0
Edificio de 3 a 9 viviendas,Alquilada,2016,866300.0
Edificio de 3 a 9 viviendas,Alquilada,2015,842900.0
Edificio de 3 a 9 viviendas,Alquilada,2014,785200.0
Edificio de 3 a 9 viviendas,Alquilada,2013,788400.0
Edificio con 10 o más viviendas,Total,2020,9008900.0
Edificio con 10 o más viviendas,Total,2019,8754300.0
Edificio con 10 o más viviendas,Total,2018,8754100.0
Edificio con 10 o más viviendas,Total,2017,8834800.0
Edificio con 10 o más viviendas,Total,2016,8656600.0
Edificio con 10 o más viviendas,Total,2015,8498600.0
Edificio con 10 o más viviendas,Total,2014,8416600.0
Edificio con 10 o más viviendas,Total,2013,8336700.000000001
Edificio con 10 o más viviendas,"Propia por compra, totalmente pagada, heredada o donada",2020,4017500.0
Edificio con 10 o más viviendas,"Propia por compra, totalmente pagada, heredada o donada",2019,3899200.0
Edificio con 10 o más viviendas,"Propia por compra, totalmente pagada, heredada o donada",2018,3857300.0
Edificio con 10 o más viviendas,"Propia por compra, totalmente pagada, heredada o donada",2017,3938300.0
Edificio con 10 o más viviendas,"Propia por compra, totalmente pagada, heredada o donada",2016,3863600.0
Edificio con 10 o más viviendas,"Propia por compra, totalmente pagada, heredada o donada",2015,3798700.0
Edificio con 10 o más viviendas,"Propia por compra, totalmente pagada, heredada o donada",2014,3692500.0
Edificio con 10 o más viviendas,"Propia por compra, totalmente pagada, heredada o donada",2013,3655900.0
Edificio con 10 o más viviendas,Propia con pagos pendientes,2020,2638700.0
Edificio con 10 o más viviendas,Propia con pagos pendientes,2019,2532600.0
Edificio con 10 o más viviendas,Propia con pagos pendientes,2018,2583000.0
Edificio con 10 o más viviendas,Propia con pagos pendientes,2017,2646800.0
Edificio con 10 o más viviendas,Propia con pagos pendientes,2016,2630300.0
Edificio con 10 o más viviendas,Propia con pagos pendientes,2015,2573600.0
Edificio con 10 o más viviendas,Propia con pagos pendientes,2014,2647000.0
Edificio con 10 o más viviendas,Propia con pagos pendientes,2013,2704700.0
Edificio con 10 o más viviendas,Alquilada,2020,1905300.0
Edificio con 10 o más viviendas,Alquilada,2019,1910500.0
Edificio con 10 o más viviendas,Alquilada,2018,1909500.0
Edificio con 10 o más viviendas,Alquilada,2017,1872200.0
Edificio con 10 o más viviendas,Alquilada,2016,1793000.0
Edificio con 10 o más viviendas,Alquilada,2015,1759500.0
Edificio con 10 o más viviendas,Alquilada,2014,1710500.0
Edificio con 10 o más viviendas,Alquilada,2013,1636200.0
Edificio destinado a otros usos,Total,2020,45400.0
Edificio destinado a otros usos,Total,2019,47200.0
Edificio destinado a otros usos,Total,2018,40700.0
Edificio destinado a otros usos,Total,2017,29900.0
Edificio destinado a otros usos,Total,2016,32700.000000000004
Edificio destinado a otros usos,Total,2015,32700.000000000004
Edificio destinado a otros usos,Total,2014,54100.0
Edificio destinado a otros usos,Total,2013,73400.0
Edificio destinado a otros usos,"Propia por compra, totalmente pagada, heredada o donada",2020,16400.0
Edificio destinado a otros usos,"Propia por compra, totalmente pagada, heredada o donada",2019,15700.0
Edificio destinado a otros usos,"Propia por compra, totalmente pagada, heredada o donada",2018,13500.0
Edificio destinado a otros usos,"Propia por compra, totalmente pagada, heredada o donada",2017,12400.0
Edificio destinado a otros usos,"Propia por compra, totalmente pagada, heredada o donada",2016,12000.0
Edificio destinado a otros usos,"Propia por compra, totalmente pagada, heredada o donada",2015,8800.0
Edificio destinado a otros usos,"Propia por compra, totalmente pagada, heredada o donada",2014,22600.0
Edificio destinado a otros usos,"Propia por compra, totalmente pagada, heredada o donada",2013,23500.0
Edificio destinado a otros usos,Propia con pagos pendientes,2020,4800.0
Edificio destinado a otros usos,Propia con pagos pendientes,2019,4300.0
Edificio destinado a otros usos,Propia con pagos pendientes,2018,6900.0
Edificio destinado a otros usos,Propia con pagos pendientes,2017,3000.0
Edificio destinado a otros usos,Propia con pagos pendientes,2016,1700.0
Edificio destinado a otros usos,Propia con pagos pendientes,2015,2500.0
Edificio destinado a otros usos,Propia con pagos pendientes,2014,8800.0
Edificio destinado a otros usos,Propia con pagos pendientes,2013,13900.0
Edificio destinado a otros usos,Alquilada,2020,13300.0
Edificio destinado a otros usos,Alquilada,2019,15900.0
Edificio destinado a otros usos,Alquilada,2018,6800.0
Edificio destinado a otros usos,Alquilada,2017,7900.0
Edificio destinado a otros usos,Alquilada,2016,7900.0
Edificio destinado a otros usos,Alquilada,2015,5800.0
Edificio destinado a otros usos,Alquilada,2014,6500.0
Edificio destinado a otros usos,Alquilada,2013,17500.0
